Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-10 14:05:28:0703;1365595528703;48.1;;;;;;;;;;
2013-04-10 14:05:28:0703;1365595528703;48.1;;;;;;;;;;
2013-04-10 14:05:28:0933;1365595528933;48.1;;;;;;;;;;
2013-04-10 14:05:28:0933;1365595528933;48.1;;;;;;;;;;
2013-04-10 14:05:29:0125;1365595529125;;;;;;12.538423333333332;52.410986666666666;6;0.0;;
2013-04-10 14:05:29:0125;1365595529125;;;;;;12.538423333333332;52.410986666666666;6;0.0;;
2013-04-10 14:05:29:0263;1365595529263;48.2;;;;;;;;;;
2013-04-10 14:05:29:0263;1365595529263;48.2;;;;;;;;;;
2013-04-10 14:05:29:0453;1365595529453;48.1;;;;;;;;;;
2013-04-10 14:05:29:0453;1365595529453;48.1;;;;;;;;;;
2013-04-10 14:05:29:0693;1365595529693;47.9;;;;;;;;;;
2013-04-10 14:05:29:0693;1365595529693;47.9;;;;;;;;;;
2013-04-10 14:05:29:0924;1365595529924;47.85;;;;;;;;;;
2013-04-10 14:05:29:0924;1365595529924;47.85;;;;;;;;;;
2013-04-10 14:05:30:0118;1365595530118;;;;;;12.538426666666664;52.410988333333336;6;0.01;;
2013-04-10 14:05:30:0118;1365595530118;;;;;;12.538426666666664;52.410988333333336;6;0.01;;
2013-04-10 14:05:30:0163;1365595530163;47.55;;;;;;;;;;
2013-04-10 14:05:30:0163;1365595530163;47.55;;;;;;;;;;
2013-04-10 14:05:30:0414;1365595530414;47.7;;;;;;;;;;
2013-04-10 14:05:30:0414;1365595530414;47.7;;;;;;;;;;
2013-04-10 14:05:30:0661;1365595530661;47.9;;;;;;;;;;
2013-04-10 14:05:30:0661;1365595530661;47.9;;;;;;;;;;
2013-04-10 14:05:30:0951;1365595530951;48.2;;;;;;;;;;
2013-04-10 14:05:30:0951;1365595530951;48.2;;;;;;;;;;
2013-04-10 14:05:31:0178;1365595531178;;;;;;12.538424999999998;52.41098999999999;6;0.0;;
