Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 11:05:16:0985;1366016716985;179.4;;;;;;;;;;
2013-04-15 11:05:17:0207;1366016717207;179.4;;;;;;;;;;
2013-04-15 11:05:17:0462;1366016717462;179.4;;;;;;;;;;
2013-04-15 11:05:17:0686;1366016717686;179.4;;;;;;;;;;
2013-04-15 11:05:17:0933;1366016717933;179.3;;;;;;;;;;
2013-04-15 11:05:18:0189;1366016718189;179.3;;;;;;;;;;
2013-04-15 11:05:18:0417;1366016718417;179.4;;;;;;;;;;
2013-04-15 11:05:18:0658;1366016718658;179.4;;;;;;;;;;
2013-04-15 11:05:18:0912;1366016718912;179.4;;;;;;;;;;
2013-04-15 11:05:19:0142;1366016719142;179.4;;;;;;;;;;
2013-04-15 11:05:19:0385;1366016719385;179.3;;;;;;;;;;
2013-04-15 11:05:19:0638;1366016719638;179.4;;;;;;;;;;
2013-04-15 11:05:19:0875;1366016719875;179.4;;;;;;;;;;
2013-04-15 11:05:20:0116;1366016720116;179.2;;;;;;;;;;
2013-04-15 11:05:20:0354;1366016720354;179.5;;;;;;;;;;
2013-04-15 11:05:20:0584;1366016720584;179.4;;;;;;;;;;
2013-04-15 11:05:20:0821;1366016720821;179.5;;;;;;;;;;
2013-04-15 11:05:21:0188;1366016721188;179.4;;;;;;;;;;
2013-04-15 11:05:21:0424;1366016721424;179.3;;;;;;;;;;
2013-04-15 11:05:21:0655;1366016721655;179.2;;;;;;;;;;
2013-04-15 11:05:21:0895;1366016721895;179.3;;;;;;;;;;
2013-04-15 11:05:22:0130;1366016722130;179.4;;;;;;;;;;
2013-04-15 11:05:22:0381;1366016722381;179.3;;;;;;;;;;
2013-04-15 11:05:22:0612;1366016722612;179.4;;;;;;;;;;
2013-04-15 11:05:22:0847;1366016722847;179.4;;;;;;;;;;
2013-04-15 11:05:23:0085;1366016723085;179.4;;;;;;;;;;
2013-04-15 11:05:23:0323;1366016723323;179.4;;;;;;;;;;
2013-04-15 11:05:23:0562;1366016723562;179.3;;;;;;;;;;
2013-04-15 11:05:23:0798;1366016723798;179.3;;;;;;;;;;
2013-04-15 11:05:24:0038;1366016724038;179.2;;;;;;;;;;
2013-04-15 11:05:24:0274;1366016724274;179.2;;;;;;;;;;
2013-04-15 11:05:24:0516;1366016724516;179.3;;;;;;;;;;
2013-04-15 11:05:24:0753;1366016724753;179.5;;;;;;;;;;
2013-04-15 11:05:25:0006;1366016725006;179.45;;;;;;;;;;
2013-04-15 11:05:25:0230;1366016725230;179.4;;;;;;;;;;
2013-04-15 11:05:25:0467;1366016725467;179.3;;;;;;;;;;
2013-04-15 11:05:25:0726;1366016725726;179.3;;;;;;;;;;
2013-04-15 11:05:25:0947;1366016725947;179.3;;;;;;;;;;
2013-04-15 11:05:26:0181;1366016726181;179.4;;;;;;;;;;
2013-04-15 11:05:26:0419;1366016726419;179.5;;;;;;;;;;
2013-04-15 11:05:26:0662;1366016726662;179.5;;;;;;;;;;
2013-04-15 11:05:26:0900;1366016726900;179.5;;;;;;;;;;
2013-04-15 11:05:27:0136;1366016727136;179.4;;;;;;;;;;
2013-04-15 11:05:27:0374;1366016727374;179.4;;;;;;;;;;
2013-04-15 11:05:27:0612;1366016727612;179.3;;;;;;;;;;
2013-04-15 11:05:27:0850;1366016727850;179.2;;;;;;;;;;
2013-04-15 11:05:28:0088;1366016728088;179.2;;;;;;;;;;
2013-04-15 11:05:28:0326;1366016728326;179.35;;;;;;;;;;
2013-04-15 11:05:28:0563;1366016728563;179.4;;;;;;;;;;
2013-04-15 11:05:28:0806;1366016728806;179.5;;;;;;;;;;
2013-04-15 11:05:29:0043;1366016729043;179.5;;;;;;;;;;
2013-04-15 11:05:29:0280;1366016729280;179.4;;;;;;;;;;
2013-04-15 11:05:29:0518;1366016729518;179.3;;;;;;;;;;
2013-04-15 11:05:29:0756;1366016729756;179.3;;;;;;;;;;
