Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition
2013-03-27 14:28:19:0345;1364390899345;270.5;;;;
2013-03-27 14:28:19:0565;1364390899565;270.5;;;;
2013-03-27 14:28:19:0808;1364390899808;270.6;;;;
2013-03-27 14:28:20:0042;1364390900042;270.7;;;;
2013-03-27 14:28:20:0337;1364390900337;270.7;;;;
2013-03-27 14:28:20:0568;1364390900568;270.6;;;;
2013-03-27 14:28:20:0802;1364390900802;270.7;;;;
2013-03-27 14:28:21:0042;1364390901042;270.8;;;;
2013-03-27 14:28:21:0278;1364390901278;270.8;;;;
2013-03-27 14:28:21:0532;1364390901532;270.8;;;;
2013-03-27 14:28:21:0785;1364390901785;270.8;;;;
2013-03-27 14:28:22:0006;1364390902006;270.8;;;;
2013-03-27 14:28:22:0233;1364390902233;270.8;;;;
2013-03-27 14:28:22:0472;1364390902472;270.8;;;;
2013-03-27 14:28:22:0734;1364390902734;270.7;;;;
2013-03-27 14:28:22:0966;1364390902966;270.7;;;;
2013-03-27 14:28:23:0222;1364390903222;270.7;;;;
2013-03-27 14:28:23:0446;1364390903446;270.75;;;;
2013-03-27 14:28:23:0683;1364390903683;270.8;;;;
2013-03-27 14:28:23:0925;1364390903925;270.8;;;;
2013-03-27 14:28:24:0158;1364390904158;270.8;;;;
2013-03-27 14:28:24:0395;1364390904395;270.8;;;;
2013-03-27 14:28:24:0634;1364390904634;270.8;;;;
2013-03-27 14:28:24:0871;1364390904871;270.8;;;;
2013-03-27 14:28:25:0108;1364390905108;270.5;;;;
2013-03-27 14:28:25:0348;1364390905348;270.7;;;;
2013-03-27 14:28:25:0590;1364390905590;270.7;;;;
2013-03-27 14:28:25:0826;1364390905826;270.6;;;;
2013-03-27 14:28:26:0064;1364390906064;270.6;;;;
2013-03-27 14:28:26:0302;1364390906302;270.6;;;;
2013-03-27 14:28:26:0540;1364390906540;270.6;;;;
2013-03-27 14:28:26:0777;1364390906777;270.6;;;;
2013-03-27 14:28:27:0015;1364390907015;270.7;;;;
2013-03-27 14:28:27:0252;1364390907252;270.7;;;;
2013-03-27 14:28:27:0491;1364390907491;270.6;;;;
2013-03-27 14:28:27:0732;1364390907732;270.6;;;;
2013-03-27 14:28:27:0970;1364390907970;270.6;;;;
2013-03-27 14:28:28:0211;1364390908211;270.7;;;;
2013-03-27 14:28:28:0459;1364390908459;270.7;;;;
2013-03-27 14:28:28:0683;1364390908683;270.7;;;;
2013-03-27 14:28:28:0920;1364390908920;270.75;;;;
