Zeitstempel;Ist-Kurs;Soll-Kurs
2013-05-15 13:54:26:954;51.0;90.0
2013-05-15 13:54:27:180;54.3;90.0
2013-05-15 13:54:27:426;52.3;90.0
2013-05-15 13:54:27:661;49.8;90.0
2013-05-15 13:54:27:898;52.5;90.0
2013-05-15 13:54:28:136;53.1;90.0
2013-05-15 13:54:28:374;50.4;90.0
2013-05-15 13:54:28:611;51.6;90.0
2013-05-15 13:54:28:848;54.7;90.0
2013-05-15 13:54:29:87;56.0;90.0
2013-05-15 13:54:29:367;52.9;90.0
2013-05-15 13:54:29:592;51.5;90.0
2013-05-15 13:54:29:827;51.7;90.0
2013-05-15 13:54:30:96;55.7;90.0
2013-05-15 13:54:30:353;52.1;90.0
2013-05-15 13:54:30:611;51.8;90.0
2013-05-15 13:54:30:849;54.9;90.0
2013-05-15 13:54:31:91;61.6;90.0
2013-05-15 13:54:31:376;63.0;90.0
2013-05-15 13:54:31:612;65.3;90.0
2013-05-15 13:54:31:850;68.4;90.0
2013-05-15 13:54:32:88;70.3;90.0
2013-05-15 13:54:32:325;67.1;90.0
2013-05-15 13:54:32:566;65.5;90.0
2013-05-15 13:54:32:807;68.1;90.0
2013-05-15 13:54:33:42;70.9;90.0
2013-05-15 13:54:33:280;72.8;90.0
2013-05-15 13:54:33:518;73.2;90.0
2013-05-15 13:54:33:757;75.6;90.0
2013-05-15 13:54:34:13;78.4;90.0
2013-05-15 13:54:34:246;80.2;90.0
2013-05-15 13:54:34:469;79.0;90.0
2013-05-15 13:54:34:706;79.7;90.0
2013-05-15 13:54:34:950;81.2;90.0
2013-05-15 13:54:35:187;82.2;90.0
2013-05-15 13:54:35:423;82.9;90.0
2013-05-15 13:54:35:732;83.1;90.0
2013-05-15 13:54:35:993;83.7;90.0
2013-05-15 13:54:36:208;84.9;90.0
2013-05-15 13:54:36:449;86.1;90.0
2013-05-15 13:54:36:699;87.0;90.0
2013-05-15 13:54:36:924;88.3;90.0
2013-05-15 13:54:37:217;88.4;90.0
2013-05-15 13:54:37:446;88.3;90.0
2013-05-15 13:54:37:685;87.3;90.0
2013-05-15 13:54:37:955;87.8;90.0
2013-05-15 13:54:38:186;88.9;90.0
