Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-03-11 10:12:14:0716;1362993134716;;;;;34;;;;;;
2013-03-11 10:12:15:0083;1362993135083;;;;;68;;;;;;
2013-03-11 10:12:15:0526;1362993135526;;;;;108;;;;;;
2013-03-11 10:28:13:0239;1362994093239;;;;;34;;;;;;
2013-03-11 10:28:13:0566;1362994093566;;;;;68;;;;;;
2013-03-11 10:28:13:0996;1362994093996;;;;;108;;;;;;
2013-03-11 10:37:12:0558;1362994632558;;;;;34;;;;;;
2013-03-11 10:37:12:0899;1362994632899;;;;;68;;;;;;
2013-03-11 10:37:13:0602;1362994633602;;;;;108;;;;;;
2013-03-11 10:51:06:0230;1362995466230;;;;;34;;;;;;
2013-03-11 10:51:06:0640;1362995466640;;;;;68;;;;;;
2013-03-11 10:51:07:0195;1362995467195;;;;;108;;;;;;
2013-03-11 10:55:51:0815;1362995751815;;;;;34;;;;;;
2013-03-11 10:55:52:0039;1362995752039;;;;;68;;;;;;
2013-03-11 10:55:52:0274;1362995752274;;;;;108;;;;;;
2013-03-11 11:07:17:0460;1362996437460;;;;;34;;;;;;
2013-03-11 11:07:22:0653;1362996442653;;;;;68;;;;;;
2013-03-11 11:07:27:0882;1362996447882;;;;;108;;;;;;
2013-03-11 11:07:33:0048;1362996453048;;;;;68;;;;;;
2013-03-11 11:09:48:0071;1362996588071;;;;;34;;;;;;
2013-03-11 11:09:53:0401;1362996593401;;;;;68;;;;;;
2013-03-11 11:09:58:0745;1362996598745;;;;;108;;;;;;
2013-03-11 11:10:04:0094;1362996604094;;;;;68;;;;;;
2013-03-11 11:10:37:0850;1362996637850;;;;;34;;;;;;
2013-03-11 11:10:38:0118;1362996638118;;;;;68;;;;;;
2013-03-11 11:10:38:0386;1362996638386;;;;;68;;;;;;
2013-03-11 11:10:38:0652;1362996638652;;;;;34;;;;;;
2013-03-11 11:10:38:0929;1362996638929;;;;;34;;;;;;
